Capacity	Speed	FixedCost	VarCost	Vehicle
100	50	400	1.2

Depot	X	Y	delTime	delCost
DC	153	153	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	203	180	9	100	0.25	10	0.8
2	178	168	1	100	0.25	10	0.8
3	117	161	2	100	0.25	10	0.8
4	157	158	4.2	100	0.25	10	0.8
5	148	157	8.4	100	0.25	10	0.8
6	152	152	9.2	100	0.25	10	0.8
7	131	138	6.4	100	0.25	10	0.8
8	150	168	3	100	0.25	10	0.8
9	51	120	8.8	100	0.25	10	0.8
10	131	133	0.8	100	0.25	10	0.8
11	255	224	7.4	100	0.25	10	0.8
12	46	228	2.2	100	0.25	10	0.8
13	127	303	5.8	100	0.25	10	0.8
14	191	183	1.2	100	0.25	10	0.8
15	143	158	5.2	100	0.25	10	0.8
16	267	149	6.2	100	0.25	10	0.8
17	114	115	8.6	100	0.25	10	0.8
18	104	187	0.4	100	0.25	10	0.8
19	48	251	7.8	100	0.25	10	0.8
20	214	16	7.8	100	0.25	10	0.8
21	104	121	6.8	100	0.25	10	0.8
22	153	153	4.4	100	0.25	10	0.8
23	150	160	4	100	0.25	10	0.8
24	109	63	1.4	100	0.25	10	0.8
25	275	157	10	100	0.25	10	0.8
26	175	31	3.4	100	0.25	10	0.8
27	105	219	5.2	100	0.25	10	0.8
28	141	266	2	100	0.25	10	0.8
29	270	163	8.6	100	0.25	10	0.8
30	171	122	4.8	100	0.25	10	0.8
31	169	138	0.4	100	0.25	10	0.8
32	230	207	7.6	100	0.25	10	0.8
33	35	149	0.6	100	0.25	10	0.8
-1
