Capacity	Speed	FixedCost	VarCost	Vehicle
100	50	400	1.2

Depot	X	Y	delTime	delCost
DC	86	86	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	96	74	10	100	0.25	10	0.8
2	80	81	0.8	100	0.25	10	0.8
3	49	99	4.8	100	0.25	10	0.8
4	7	101	7.2	100	0.25	10	0.8
5	86	86	1.8	100	0.25	10	0.8
6	137	71	1	100	0.25	10	0.8
7	152	87	2.6	100	0.25	10	0.8
8	85	160	9.6	100	0.25	10	0.8
9	119	35	1.6	100	0.25	10	0.8
10	83	57	2.4	100	0.25	10	0.8
11	83	41	1.2	100	0.25	10	0.8
12	141	48	3.6	100	0.25	10	0.8
13	56	56	0.6	100	0.25	10	0.8
14	47	80	9.6	100	0.25	10	0.8
15	81	122	7.4	100	0.25	10	0.8
16	90	82	1.8	100	0.25	10	0.8
17	17	99	5.8	100	0.25	10	0.8
18	124	53	0.6	100	0.25	10	0.8
19	80	147	7.2	100	0.25	10	0.8
20	160	114	4.8	100	0.25	10	0.8
21	148	123	5.4	100	0.25	10	0.8
22	63	78	9	100	0.25	10	0.8
23	120	74	1.2	100	0.25	10	0.8
24	22	58	6.2	100	0.25	10	0.8
25	89	94	2.6	100	0.25	10	0.8
26	61	127	6.4	100	0.25	10	0.8
27	86	87	6.4	100	0.25	10	0.8
28	128	76	3	100	0.25	10	0.8
29	121	31	9.8	100	0.25	10	0.8
30	62	82	2	100	0.25	10	0.8
-1
