Capacity	Speed	FixedCost	VarCost	Vehicle
100	50	400	1.2

Depot	X	Y	delTime	delCost
DC	93	93	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	135	39	1.8	100	0.25	10	0.08
2	165	92	5.8	100	0.25	10	0.08
3	34	86	4.2	100	0.25	10	0.08
4	98	56	3.8	100	0.25	10	0.08
5	102	91	3.6	100	0.25	10	0.08
6	83	135	4.8	100	0.25	10	0.08
7	42	133	1.6	100	0.25	10	0.08
8	118	98	1.2	100	0.25	10	0.08
9	111	177	0.8	100	0.25	10	0.08
10	124	77	2	100	0.25	10	0.08
11	104	97	3.8	100	0.25	10	0.08
12	66	56	6.2	100	0.25	10	0.08
13	90	91	4.6	100	0.25	10	0.08
14	88	80	0.8	100	0.25	10	0.08
15	1	82	8.6	100	0.25	10	0.08
16	77	92	4.6	100	0.25	10	0.08
17	96	8	4.8	100	0.25	10	0.08
18	99	94	9.4	100	0.25	10	0.08
19	51	56	5.4	100	0.25	10	0.08
20	95	90	5.8	100	0.25	10	0.08
21	27	84	9.8	100	0.25	10	0.08
22	131	152	6.8	100	0.25	10	0.08
23	87	92	8.2	100	0.25	10	0.08
24	139	83	7.4	100	0.25	10	0.08
25	74	89	8	100	0.25	10	0.08
26	16	68	1.2	100	0.25	10	0.08
27	96	103	1.8	100	0.25	10	0.08
28	65	91	4.2	100	0.25	10	0.08
29	96	88	2	100	0.25	10	0.08
30	71	74	2.8	100	0.25	10	0.08
31	35	51	9.2	100	0.25	10	0.08
32	93	92	7.4	100	0.25	10	0.08
33	152	73	9	100	0.25	10	0.08
34	93	92	0.4	100	0.25	10	0.08
35	27	48	3	100	0.25	10	0.08
36	121	50	2	100	0.25	10	0.08
37	17	116	9	100	0.25	10	0.08
38	84	98	3.4	100	0.25	10	0.08
39	110	110	0.6	100	0.25	10	0.08
40	104	84	7.2	100	0.25	10	0.08
41	43	28	8	100	0.25	10	0.08
42	90	95	3.6	100	0.25	10	0.08
43	127	75	5.6	100	0.25	10	0.08
-1
