Capacity	Speed	FixedCost	VarCost	Vehicle
100	50	400	1.2

Depot	X	Y	delTime	delCost
DC	81	81	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	104	120	7.6	53.2	0.25	10	0.8
2	63	154	3.8	11.4	0.25	10	0.8
3	144	43	0.8	6.4	0.25	10	0.8
4	82	94	4.2	37.8	0.25	10	0.8
5	130	84	1.6	14.4	0.25	10	0.8
6	162	89	7.2	28.8	0.25	10	0.8
7	30	113	5.4	10.8	0.25	10	0.8
8	91	85	8.4	84	0.25	10	0.8
9	92	84	9	63	0.25	10	0.8
10	61	127	3.4	17	0.25	10	0.8
11	88	126	4.8	33.6	0.25	10	0.8
12	83	84	8	64	0.25	10	0.8
13	48	37	2.4	21.6	0.25	10	0.8
14	100	100	5.8	52.2	0.25	10	0.8
15	91	149	8	64	0.25	10	0.8
16	30	75	4.6	9.2	0.25	10	0.8
17	56	128	0.2	0.4	0.25	10	0.8
18	82	146	4.6	46	0.25	10	0.8
19	104	17	4.6	36.8	0.25	10	0.8
20	102	85	1.6	6.4	0.25	10	0.8
21	117	45	8.8	26.4	0.25	10	0.8
22	51	125	1	9	0.25	10	0.8
23	68	71	3.8	34.2	0.25	10	0.8
24	79	36	5.8	46.4	0.25	10	0.8
25	138	53	5	35	0.25	10	0.8
26	35	38	5.6	44.8	0.25	10	0.8
27	8	93	9	36	0.25	10	0.8
28	79	80	8.6	51.6	0.25	10	0.8
29	127	24	5.6	11.2	0.25	10	0.8
30	47	53	4.2	16.8	0.25	10	0.8
31	50	92	8.8	26.4	0.25	10	0.8
-1
