Capacity	Speed	FixedCost	VarCost	Vehicle
50	50	240	1

Depot	X	Y	delTime	delCost
DC	86	86	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	96	74	10	50	0.25	10	0.8
2	80	81	0.8	2.4	0.25	10	0.8
3	49	99	4.8	24	0.25	10	0.8
4	7	101	7.2	72	0.25	10	0.8
5	86	86	1.8	5.4	0.25	10	0.8
6	137	71	1	5	0.25	10	0.8
7	152	87	2.6	7.8	0.25	10	0.8
8	85	160	9.6	96	0.25	10	0.8
9	119	35	1.6	11.2	0.25	10	0.8
10	83	57	2.4	16.8	0.25	10	0.8
11	83	41	1.2	12	0.25	10	0.8
12	141	48	3.6	28.8	0.25	10	0.8
13	56	56	0.6	2.4	0.25	10	0.8
14	47	80	9.6	38.4	0.25	10	0.8
15	81	122	7.4	44.4	0.25	10	0.8
16	90	82	1.8	10.8	0.25	10	0.8
17	17	99	5.8	29	0.25	10	0.8
18	124	53	0.6	4.8	0.25	10	0.8
19	80	147	7.2	64.8	0.25	10	0.8
20	160	114	4.8	28.8	0.25	10	0.8
21	148	123	5.4	37.8	0.25	10	0.8
22	63	78	9	81	0.25	10	0.8
23	120	74	1.2	10.8	0.25	10	0.8
24	22	58	6.2	12.4	0.25	10	0.8
25	89	94	2.6	23.4	0.25	10	0.8
26	61	127	6.4	32	0.25	10	0.8
27	86	87	6.4	19.2	0.25	10	0.8
28	128	76	3	9	0.25	10	0.8
29	121	31	9.8	49	0.25	10	0.8
30	62	82	2	20	0.25	10	0.8
-1
