Capacity	Speed	FixedCost	VarCost	Vehicle
50	50	240	1

Depot	X	Y	delTime	delCost
DC	77	77	0.5	20

Name	X	Y	demRate	cap	delTime	delCost	holdCost
1	28	124	3.4	13.6	0.25	10	0.08
2	104	72	5	10	0.25	10	0.08
3	77	104	1	2	0.25	10	0.08
4	72	81	3	12	0.25	10	0.08
5	83	80	4.6	46	0.25	10	0.08
6	89	139	5.8	17.4	0.25	10	0.08
7	79	62	4.2	37.8	0.25	10	0.08
8	36	64	6.6	52.8	0.25	10	0.08
9	143	95	1	7	0.25	10	0.08
10	14	77	3.2	32	0.25	10	0.08
11	84	30	7	42	0.25	10	0.08
12	120	117	4.2	25.2	0.25	10	0.08
13	68	26	1.8	7.2	0.25	10	0.08
14	40	57	2.6	13	0.25	10	0.08
15	63	85	5.2	26	0.25	10	0.08
16	83	78	7.6	38	0.25	10	0.08
17	79	44	2.6	23.4	0.25	10	0.08
18	82	116	9	18	0.25	10	0.08
19	119	134	2.2	15.4	0.25	10	0.08
20	119	87	5	35	0.25	10	0.08
21	78	77	5.8	23.2	0.25	10	0.08
22	105	14	5.4	10.8	0.25	10	0.08
23	109	48	6.6	26.4	0.25	10	0.08
24	88	80	2.4	19.2	0.25	10	0.08
25	75	75	2.4	19.2	0.25	10	0.08
26	14	110	0.2	0.8	0.25	10	0.08
27	111	11	9.4	65.8	0.25	10	0.08
28	66	57	0.8	5.6	0.25	10	0.08
29	85	63	8.8	70.4	0.25	10	0.08
30	36	30	5.2	26	0.25	10	0.08
31	68	75	8.8	61.6	0.25	10	0.08
32	85	92	0.2	1	0.25	10	0.08
33	124	52	8	16	0.25	10	0.08
34	31	90	8.2	65.6	0.25	10	0.08
35	81	67	7.6	53.2	0.25	10	0.08
36	44	24	7	70	0.25	10	0.08
37	132	57	10	20	0.25	10	0.08
38	96	50	9.6	38.4	0.25	10	0.08
39	75	59	6.2	24.8	0.25	10	0.08
40	49	127	2.2	15.4	0.25	10	0.08
41	73	94	6.6	19.8	0.25	10	0.08
42	59	68	4	36	0.25	10	0.08
43	69	101	5.6	22.4	0.25	10	0.08
44	76	67	8.6	60.2	0.25	10	0.08
45	81	80	8.2	16.4	0.25	10	0.08
46	76	78	2.8	19.6	0.25	10	0.08
47	103	7	9.4	56.4	0.25	10	0.08
48	82	71	0.4	0.8	0.25	10	0.08
49	78	135	8.6	68.8	0.25	10	0.08
50	53	24	4.2	21	0.25	10	0.08
51	104	88	2.4	24	0.25	10	0.08
-1
